title,choices,answer
以下哪个问题反映的不是职业价值观? ,"['A. 你觉得什么样的职业是有意义的?', 'B. 你希望通过职业实现什么目标?', 'C. 你觉得什么职业最能发挥你的潜能?', 'D. 你最希望职业能给你什么回报?']",正确答案：C
"无须担心失业以及收入,不会轻易被解雇,就业率没有季节性的高低起伏,收入总体来说稳定可预知,不会因技术革命而淘汰。这是哪一种职业价值观?","['A. 多样性', 'B. 稳定性', 'C. 声望地位', 'D. 高收入']",正确答案：B
"给予你较多自由来自己做出决策,无须在他人的监督或指导下工作。这是哪一种职业价值观?","['A. 管理权力', 'B. 多样性', 'C. 独立自主', 'D. 社会声望']",正确答案：C
兴趣与能力有密切的关系，兴趣等同于能力。,"['A. 对', 'B. 错']",正确答案：B
个人兴趣类型与职业环境之间的适配将增加个人的工作满意度、职业稳定性和职业成就感。,"['A. 对', 'B. 错']",正确答案：A
社会型特质的人喜欢的活动是喜欢与人合作，热情关心他人的幸福，愿意帮助别人成长或解决困难、为他人提供服务。,"['A. 对', 'B. 错']",正确答案：A
大学生要严格按照职业兴趣测评的结果进行决策。,"['A. 对', 'B. 错']",正确答案：B
"每个人的职业价值观都是固定的,是本性使然,不会随着时间、经历的改变而改变。","['A. 对', 'B. 错']",正确答案：B
学生对退学处理有异议的，可以在接到学校退学决定之日起（   ）个工作日内，向学校学生申诉处理委员会提出书面申诉。,"['A. 3', 'B. 5', 'C. 10', 'D. 15']",正确答案：B
本科学制由国家统一规定，一般为（   ）年。,"['A. 一', 'B. 二', 'C. 三', 'D. 四']",正确答案：D
退学决定自（   ）起生效。,"['A. 送达之日', 'B. 送达后一日', 'C. 送达后一周', 'D. 学生本人签收后一日']",正确答案：A
退学决议书无法送达的，在学校公告栏公布退学决定。自公布之日起经过（ ）日，即视为送达。,"['A. 7', 'B. 14', 'C. 15', 'D. 30']",正确答案：C
新生入学后，学校在（   ）个月内按照国家招生规定对其进行复查。,"['A. 一', 'B. 二', 'C. 三', 'D. 四']",正确答案：C
学生对学校的处分决定有异议的，在学校处分决定书送达之日起（   ）个工作日内，可以向学校学生申诉处理委员会提出书面申诉。,"['A. 5', 'B. 7', 'C. 10', 'D. 15']",正确答案：A
对学生的退学处理，由（   ）研究决定。,"['A. 教务处', 'B. 所在院系', 'C. 校长办公会议', 'D. 省级教育行政部门']",正确答案：C
退学的学生，应在（   ）内办理退学手续离校。,"['A. 一周', 'B. 两周', 'C. 一个月', 'D. 本学期']",正确答案：B
在一学期内请假、缺课时间达到该学期总学时（   ）的学生（获准部分免听者除外），应予休学。,"['A. 1/2', 'B. 1/3', 'C. 1/4', 'D. 1/5']",正确答案：B
一门课程缺课的学时累计达到该门课程总学时数的（   ）者（获准部分免听者除外），该门课程必须重修。,"['A. 1/2', 'B. 1/3', 'C. 1/4', 'D. 1/5']",正确答案：B
学业成绩未达到学校要求，相连两个学期未能获得该专业教学计划（   ）学分者，应当退学。,"['A. 14', 'B. 16', 'C. 18', 'D. 20']",正确答案：D
同一门课程重修不得超过（   ）次。,"['A. 一', 'B. 二', 'C. 三', 'D. 四']",正确答案：B
被学校开除学籍的学生，学校发给（   ）。,"['A. 毕业证', 'B. 结业证', 'C. 肄业证', 'D. 学习证明']",正确答案：D
学生在规定最长在校年限之内，所获学分达到教学计划总学分数（   ）者准予结业。,"['A. 60%', 'B. 70%', 'C. 80%', 'D. 90%']",正确答案：D
有下列哪些情况的，可以申请转专业？,"['A. 在某一学科方面有特长的学生,例如：发表论文、著作、作品;', 'B. 在某一学科方面有特长的学生,例如：在省级以上学科竞赛获奖;', 'C. 在某一学科方面有特长的学生，并且提供确凿证明证实申请者转到相应专业能进一步发挥其特长;', 'D. 因为身体健康原因，经学校指定医院检查证明不能在原专业学习、但尚能在本校其他专业学习者。']",正确答案：A、B、C、D
学生有下列哪些情形的，应当退学？,"['A. 休学期满，在学校规定期限内提出复学申请；', 'B. 经学校指定医院诊断，患有疾病或者意外伤残无法继续在校学习者；', 'C. 未请假离校、连续两周不参加学校规定的教学活动者；', 'D. 超过学校规定期限未注册而又无正当事由者。']",正确答案：B、C、D
学业成绩未达到学校要求，相连两个学期未能获得该专业教学计划20学分者，应当退学。                                ,"['A. 对', 'B. 错']",正确答案：A
应予退学的学生，经其他院校同意，可以转学。                                    ,"['A. 对', 'B. 错']",正确答案：B
被学校开除学籍的学生，学校发给学历证书，但不颁发学位证书。                                    ,"['A. 对', 'B. 错']",正确答案：B
退学决定书由学生所在学院（研究院、教学部、园区学生工作站）送交学生本人，由学生本人签收，签收日期为送达日期。	,"['A. 对', 'B. 错']",正确答案：A
未请假离校、一周不参加学校规定的教学活动者，应当退学。	,"['A. 对', 'B. 错']",正确答案：B
患有疾病且经批准保留入学资格的新生，具有学籍，可以随时入学。,"['A. 对', 'B. 错']",正确答案：B
学生转入新的专业后，转专业前已修习的课程，重修时可以根据本人对课程的掌握程度申请部分免听。                                    ,"['A. 对', 'B. 错']",正确答案：A
"学生有缴纳学费的义务。每学期开学时，学生都必须按其专业年级的缴费标准,按照一学期额度缴纳学费。  ","['A. 对', 'B. 错']",正确答案：B
经过院系批准，学习能力强的学生可以提前修习某些后续课程；学习有困难的学生可以推后缓修某些课程。                                    ,"['A. 对', 'B. 错']",正确答案：A
因病休学的学生，申请复学时，须由学校指定医院诊断，证明已恢复健康，并经校医院复查合格，方可复学。                                    ,"['A. 对', 'B. 错']",正确答案：A
新生入学后，学校对其进行复查。复查不合格者，由学校区别情况，予以处理，但不会取消其入学资格。,"['A. 对', 'B. 错']",正确答案：B
学生对学校的处分决定有异议的，在学校处分决定书送达之日起15个工作日内，可以向学校学生申诉处理委员会提出书面申诉。	,"['A. 对', 'B. 错']",正确答案：B
学生复学应在注册后办理复学手续。	,"['A. 对', 'B. 错']",正确答案：B
学业优秀、学习能力强的学生，经本人申请和学院批准，某些课程(政治课、体育课、实验课除外)可以全部或部分免听。经过考核，成绩在及格以上者可获得该课程学分。	,"['A. 对', 'B. 错']",正确答案：A
因病经学校指定医院诊断，须停课治疗、休养时间占一学期总学时二分之一以上者，应予休学。	,"['A. 对', 'B. 错']",正确答案：A
因故不能如期注册的学生，应当向学生所在学院履行暂缓注册手续。未按学校规定缴纳学费或者其他不符合注册条件的不予注册。	,"['A. 对', 'B. 错']",正确答案：A
对学生的表彰和奖励可以给予精神奖励，也可以给予物质奖励。	,"['A. 对', 'B. 错']",正确答案：A
招生时确定为定向、委托培养的学生，可以根据自身情况转学。	,"['A. 对', 'B. 错']",正确答案：B
学生转入新的专业，原则上依照入学时的年级所适用的学籍管理细则进行管理。                                   ,"['A. 对', 'B. 错']",正确答案：A
学生不能按时参加教育教学计划规定的活动，如有理由，事后说明情况即可。                                    ,"['A. 对', 'B. 错']",正确答案：B
患有疾病的新生，经学校指定等级的医院诊断不宜在校学习的，经教务处批准，可以离校治疗，保留入学资格的时间最多不得超过一学期。,"['A. 对', 'B. 错']",正确答案：B
休学期满，在学校规定期限内未提出复学申请、或者申请复学经复查不合格者，应当退学。	,"['A. 对', 'B. 错']",正确答案：A
保留学籍的学生可以享受在校生和休学生待遇。	,"['A. 对', 'B. 错']",正确答案：B
因生理缺陷或患某种疾病的学生，可以随时免于或暂缓参加军事训练；体育课可随时转修“保健体育课”。                                   ,"['A. 对', 'B. 错']",正确答案：B
学生完成本专业学业、同时辅修其他专业并达到该专业辅修要求者，学校发给辅修专业证书。                                    ,"['A. 对', 'B. 错']",正确答案：A
学生因特殊困难等原因，经本人申请、学校批准，最多可保留学籍一学期。	,"['A. 对', 'B. 错']",正确答案：B
违反国家招生规定入学者，学校不得发给学历证书、学位证书。	,"['A. 对', 'B. 错']",正确答案：A
对学生的表彰和奖励可以采取授予“三好学生”称号或者其他荣誉称号、颁发奖学金等多种形式。                                    ,"['A. 对', 'B. 错']",正确答案：A
凡属弄虚作假、徇私舞弊取得学籍者，如经查实，说明情况即可。,"['A. 对', 'B. 错']",正确答案：B
学生严重违反考核纪律或者作弊的，该课程考核成绩记为无效，并按《厦门大学考场纪律及违规处理办法》给予批评教育或纪律处分。	,"['A. 对', 'B. 错']",正确答案：A
学生转学，须转户口的由转入地省级教育行政部门将有关文件抄送转入校所在地公安部门。                                 ,"['A. 对', 'B. 错']",正确答案：A
休学学生原来享受专业奖学金的，按原有等级发放。                                   ,"['A. 对', 'B. 错']",正确答案：B
未按期入学的新生，未经请假、或请假未被批准、或请假逾期的，除因不可抗力等正当事由以外，视为放弃入学资格。,"['A. 对', 'B. 错']",正确答案：A
学生本人申请退学的应由本人填写退学申请表、学院签署意见，报送教务处。                                    ,"['A. 对', 'B. 错']",正确答案：A
凡我校录取的新生，须持录取通知书和有关证件，按期到校办理入学手续。因故不能按期入学者，必须向学院书面请假并附相关证明。未经请假、或请假未被批准、或请假逾期（   ）周的，除因不可抗力等正当事由以外，视为放弃入学资格。,"['A. 一', 'B. 二', 'C. 三', 'D. 四']",正确答案：B
若非因病等特殊情况，学生休学一般以（   ）为期。,"['A. 一学期', 'B. 一年', 'C. 两年', 'D. 三年']",正确答案：B
学生本人拒绝签收退学决定书的，由学院（研究院、教学部、园区学生工作站）负责送达的工作人员邀请（   ）名以上的教师或学生作为见证人，在送达回证上记明拒收事由和日期，由送达人、见证人签名。,"['A. 二', 'B. 三', 'C. 四', 'D. 五']",正确答案：A
每个学生在学期间能够申请（   ）次转专业。,"['A. 四', 'B. 三', 'C. 二', 'D. 一']",正确答案：D
学生可以分阶段完成学业。学校允许学生提前（   ）年毕业。,"['A. 一', 'B. 二', 'C. 三', 'D. 四']",正确答案：A
提前毕业学生待遇与其他毕业生相同。                                    ,"['A. 对', 'B. 错']",正确答案：A
学校执行高等教育学历证书电子注册管理制度，每年将颁发的毕(结)业证书信息报福建省教育行政部门注册，并由福建省教育行政部门报国务院教育行政部门备案。	,"['A. 对', 'B. 错']",正确答案：A
申请免听课程考试一般与上届学生的课程考试同时进行，考试难度可以根据学生具体情况进行调整，不必一致。	,"['A. 对', 'B. 错']",正确答案：B
学生申诉期间，应停止处分的执行。	,"['A. 对', 'B. 错']",正确答案：B
经学校指定医院诊断，患有疾病或者意外伤残无法继续在校学习者，应当退学。                                    ,"['A. 对', 'B. 错']",正确答案：A
学生在校年限（含休学、保留入学资格和保留学籍）不得超出其学制三年（即四年制本科生不超出七年、五年制本科生不超出八年）。                                    ,"['A. 对', 'B. 错']",正确答案：B
对违法、违规、违纪行为的学生，给予批评教育，或者按照学生违规处分办法和程序，给予与学生违法、违规、违纪行为的性质和过错的严重程度相适应的纪律处分。                                    ,"['A. 对', 'B. 错']",正确答案：A
结业后达到毕业要求的学生，可以换发毕业证，但毕业时间应按结业日期填写。                                    ,"['A. 对', 'B. 错']",正确答案：B
学生的奖励与处分材料应归入本人档案，不归入学校文书档案。	,"['A. 对', 'B. 错']",正确答案：B
家庭经济困难的学生可以申请贷款或者其他形式资助，办理有关手续后注册。,"['A. 对', 'B. 错']",正确答案：A
肄业后的学生，经申请，以后可以换发毕业证明。	,"['A. 对', 'B. 错']",正确答案：B
学生应当按照学校和学院的规定，在指导教师的指导下，办理选课手续。凡规定有先修课程的，须取得先修课程学分后方可继续修习后续课程。	,"['A. 对', 'B. 错']",正确答案：A
学生不能按时参加课程考核，该课程必须重修。如有其他情况，经任课老师同意，可以免于重修。	,"['A. 对', 'B. 错']",正确答案：B
免听课程的考试必须按照教学大纲的要求考核全部内容，试题由任课教师拟定，系主任核准。                                  ,"['A. 对', 'B. 错']",正确答案：A
每学期开学时，学生必须按校历规定日期到学院办理注册手续方可取得本学期学习资格。本人未按时办理的，注册手续应由他人及时代办。,"['A. 对', 'B. 错']",正确答案：B
学生可以分阶段完成学业。学校允许学生申请保留学籍（   ）年从事创业等活动。,"['A. 1-2', 'B. 2-3', 'C. 3-4', 'D. 4-5']",正确答案：A
未修、或已修不及格课程在结业后（   ）内可申请自费重修或补考，合格者可以换发毕业证书。,"['A. 两周', 'B. 一月', 'C. 一学期', 'D. 一年']",正确答案：D
休学后复学的学生，未修满（   ）又休学应视为连续休学。,"['A. 两周', 'B. 一个月', 'C. 两个月', 'D. 一学期']",正确答案：D
因病经学校批准，可连续休学，但累计不得超过（   ）。,"['A. 两年', 'B. 三年', 'C. 四年', 'D. 五年']",正确答案：A
因病经学校指定医院诊断，须停课治疗、休养时间占一学期总学时（   ）以上的学生，应予休学。,"['A. 2/3', 'B. 1/2', 'C. 1/3', 'D. 1/4']",正确答案：C
转专业能有利于学生自主学习成才的学生，转专业前在本专业所修的公共基础课程以及与申请转入专业相同的课程绝大多数应达到（   ）以上成绩的。,"['A. 不及格（未达60分）', 'B. 及格（60分)', 'C. 良好（70分）', 'D. 优秀（85分）']",正确答案：C
留学生、港澳台侨学生的学籍管理不参照本规定施行。                                    ,"['A. 对', 'B. 错']",正确答案：B
未办理休学手续而擅自离校者，视为自动退学。                                   ,"['A. 对', 'B. 错']",正确答案：A
学生可以根据校际间协议跨校修读课程。在他校修读的课程成绩(学分)经任课老师同意后，可以替代或免修教学计划规定的相应课程和学分。                                ,"['A. 对', 'B. 错']",正确答案：B
同一门课程最多可以重修三次。                                    ,"['A. 对', 'B. 错']",正确答案：B
学生可以根据自己的兴趣、爱好和特长，经所在院系和开课院系的同意，可选修其他专业的课程。	,"['A. 对', 'B. 错']",正确答案：A
入学未满三个月的学生不得转学，超过三个月的可以转学。	,"['A. 对', 'B. 错']",正确答案：B
因病经学校批准，可连续休学两年，累计不得超过三年。	,"['A. 对', 'B. 错']",正确答案：B
学生转学，经对方院校同意，即可办理转学手续。	,"['A. 对', 'B. 错']",正确答案：B
本科学制由国家统一规定，所有专业不得超过四年。                                  ,"['A. 对', 'B. 错']",正确答案：B
休学学生不享受贷学金。	,"['A. 对', 'B. 错']",正确答案：A
新生入学未满一学期者不能申请转专业。	,"['A. 对', 'B. 错']",正确答案：A
学生申请休学应填写休学申请表，并附相关证明，如取得所在学院签署意见，可以不报教务处。	,"['A. 对', 'B. 错']",正确答案：B
下列选项中，使用身份证双因素的是（）,"['A. 电话卡', 'B. 交通卡', 'C. 校园饭卡', 'D. 银行卡']",正确答案：D
户外遇雷电时怎么办(    ),"['A. 跑向高处', 'B. 远离建筑物外露的水管、煤气管等金属物体', 'C. 到大树下避雨', 'D. 练功']",正确答案：B
运动中发生意外伤害后，下列哪种是错误的（）,"['A. 碰伤、摔伤较严重时，不要轻易搬动伤口，以免加重伤势。', 'B. 如果伤口出血过多，用布条缠住，两个小时后再松开。', 'C. 如果手指不幸被弄断，把断指用干净的布条包起来，把伤员送到医院。', 'D. 不要慌张。']",正确答案：B
邪教通常利用各种（  ），引诱信徒消极厌世，挑动他们对现实和政府的不满情绪。,"['A. 社会矛盾', 'B. 家庭问题', 'C. 人际关系问题', 'D. 环境问题']",正确答案：A
"网络蠕虫一般指利用计算机系统漏洞、通过互联网传播扩散的一类病毒程序。为了防止受到网络蠕虫的侵害,应当注意对( )进行升级更新。","['A. 计算机操作系统', 'B. 计算机硬件', 'C. 文字处理软件', 'D. 视频播放软件']",正确答案：A
目前我国通用的火灾报警电话是（）,"['A. 119', 'B. 110', 'C. 120', 'D. 122']",正确答案：A
驾驶（）须带安全头盔,"['A. 自行车', 'B. 摩托车', 'C. 助动车', 'D. 玩具车']",正确答案：B
某天你接到一个电话，对方自称是**公安局的警官，并直接报出你的名字和身份证号。警官称你的银行卡涉嫌洗钱犯罪，正在被警方通缉，如果要洗清嫌疑，需要把卡内的钱转到一个指定账户，核实排除嫌疑后，再把钱打回原账户，你应该怎么做? （）,"['A. 按对方要求到银行柜员机去转账，尽快洗清自己的嫌疑。', 'B. 对方知道我的名字和身份证号，应该是真的。', 'C. 不相信，因为公安机关办案有严格程序，绝对不会在电话里办案，挂掉电话并拨打110报警。', 'D. 以上都不对']",正确答案：C
从我国历史和现实情况看，邪教的根本目的是企图谋取（）地位和权力。,"['A. 经济', 'B. 政治', 'C. 文化', 'D. 精神']",正确答案：B
一位学生收到了“刷信誉能赚钱”的兼职邀请。第一天要求你花100元购买商品，刷满信誉后，返还你150元。第二天花300元购买商品，返还500元。几 天下来平均每天赚个一两百块。这天对方表示，随着等级升高需要花5000元购买商品，随后返还10000元，你碰到这种情况该怎么办?（）,"['A. 赚钱好容易，要刷下去。', 'B. 可能是陷阱。', 'C. 先尝点甜头再说。', 'D. 不予理睬。']",正确答案：D
"下列情形中,不构成侵权的是( ) ","['A. 未经他人同意擅自在网络上公布他人隐私', 'B. 下载网络小说供离线阅读', 'C. 伪造、篡改个人信息', 'D. 非法侵入他人电脑窃取资料']",正确答案：B
被困在电梯中应（）,"['A. 将门扒开脱险。', 'B. 从电梯顶部脱险', 'C. 电话求救或高声呼喊', 'D. 嚎啕大哭']",正确答案：C
驾驶两轮摩托车与乘坐摩托车正确的方式是(    ),"['A. 戴好安全头盔，正向骑坐', 'B. 戴上安全头盔，背向骑坐', 'C. 侧向骑坐，把头盔拿在手里', 'D. 以最舒适的姿势骑坐']",正确答案：A
如果你不幸溺水，当有人来救你的时候，你应该怎样配合别人,"['A. 紧紧抓住那人的胳膊或腿', 'B. 身体放松，让救你的人托着你的腰部', 'C. 用双手抱住对方的身体 ', 'D. 踢走他 ']",正确答案：B
地震发生后，从高楼撤离时应走(    ),"['A. 安全通道', 'B. 跳楼', 'C. 乘坐电梯', 'D. 墙壁']",正确答案：A
你在某同城网站上看到一条宠物赠送信息，是一只非常可爱的猫咪，而你的妹妹非常想要一只猫，对方留下联系方式称:只需将300元物流费打到他卡上，你就能得到这只血统名贵的小猫，你会:（）,"['A. 打钱给他，让他寄猫给你。', 'B. 骗子吧，还是不要了。', 'C. 一手交钱，一手交猫。', 'D. 以上都不对。']",正确答案：B
在商场或书店中如何避震(    ),"['A. 远离高大的货架或书架', 'B. 躲在高大的货架或书架之间', 'C. 往电梯跑，赶快乘电梯下楼', 'D. 趁机行窃']",正确答案：A
地铁失火逃生，要做到(    ),"['A. 应听从工作人员的指挥，保护自己，有序逃生', 'B. 贪恋财物', 'C. 盲目相互拥挤，冲撞', 'D. 撒尿灭火']",正确答案：A
发现宿舍被盗后怎么办？,"['A. 赶紧翻看自己的柜子箱子抽屉查看自己的财物少了些什么', 'B. 立即向学校保卫处报告，保护现场', 'C. 不作声，不了了之', 'D. 诅咒小偷']",正确答案：B
在影剧院如何避震(    ) ,"['A. 不要慌乱，就地避震，趴在座椅旁', 'B. 集中到没有座椅的地方', 'C. 不顾一切向外跑', 'D. 趁机起哄']",正确答案：A
最近手头比较紧，需要一笔资金来支撑一下生活的需要，正好看到某小广告上有介绍办理小额贷款的，利率又不高，电话打通后，对方要求先行支付押金等，这时正确做法?（）,"['A. 按照对方说的，直接支付押金给对方。', 'B. 应该是假的，我不要了。', 'C. 我还是选择到正规渠道（银行）办理贷款业务比较保险。', 'D. 跟对方讨价还价后，再看看情况。']",正确答案：C
《中华人民共和国道路交通安全法》中所称的机动车是指（）。,"['A. 各种客车、货车、三轮车', 'B. 各种货运车、客运汽车、公共汽车', 'C. 各种汽车、电车、电瓶车、摩托车、拖拉机、轮式专用机械车', 'D. 自行车']",正确答案：C
"某同学接到信息,对方能正确报出他的姓名、身份证号码以及银行卡号等信息,告知他银行卡密码出现漏洞,请重新设置密码,这时正确的做法是（）。","['A. 立即重设密码。', 'B. 向银行确认。', 'C. 不予理会。', 'D. 报警。']",正确答案：B
灭火器使用时的安全距离是（）？,"['A. 1-1.5米', 'B. 3-5米', 'C. 5-8米', 'D. 8-10米']",正确答案：B
发生交通事故，有人被压在车轮或货物下时，错误的救援方法是(    ),"['A. 设法抬升车辆', 'B. 拨打急救电话', 'C. 拉拽伤者的肢体', 'D. 搬走货物']",正确答案：C
某日一位同学接到朋友电话，称某某地方有发财的机会，叫其赶紧过去看看，这时该同学该怎么做?（）,"['A. 不经过核实，赶紧离职过去看看。', 'B. 还是询问一下具体做什么的，会不会是传销诱骗。', 'C. 打电话询问一下其他同学。', 'D. 只要是能赚钱的，管他什么传销，我都要参与。']",正确答案：B
发生火灾时，如各种逃生的路线被切断，最直接的方法应当（）同时，可向室外扔出小东西，在夜晚则可向外打手电，发出求救信号。,"['A. 大声呼救', 'B. 强行逃生', 'C. 退居室内，关闭门窗', 'D. 躺在床上，瑟瑟发抖']",正确答案：C
晚上骑自行车途中，迎面遇到一辆驶来的汽车，灯光非常耀眼，为了安全应该是(    ),"['A. 用手遮挡灯光', 'B. 闭目缓慢行驶', 'C. 下车靠边避让', 'D. 迎着灯光行驶']",正确答案：C
如何防止室内电线起火？,"['A. 要注意安全用电； ', 'B. 不要超负荷用电；', 'C. 陈旧、老化或破裂的电线，要及时更换；', 'D. 不要随便处理或扯、拉电器设备的导线。尤其注意不要在家具和地毯下面拉设电线，以防搬移家具或人员踩踏时发生短路而引起火灾。  ']",正确答案：A、B、C、D
